city,district,state,count
Ranchi,Ranchi,Jharkhand,316
Jammu,Jammu,Jammu and Kashmir,287
Lucknow,Lucknow,Uttar Pradesh,234
Patna,Patna,Bihar,219
,Cuttack,Odisha,200
Bengaluru,,Karnataka,180
Chennai,Chennai,Tamil Nadu,177
Jabalpur,Jabalpur,Madhya Pradesh,174
Kozhikode,Kozhikode,Kerala,154
Imphal,Imphal West,Manipur,126
Imphal,,Manipur,121
Gwalior,Gwalior,Madhya Pradesh,105
Kannur,Kannur,Kerala,105
Srinagar,Srinagar,Jammu and Kashmir,103
Indore,Indore,Madhya Pradesh,83
,Madurai,Tamil Nadu,80
Mysuru,Mysuru,Karnataka,77
'confidence': 0.0,'match_context': None,'score_breakdown': {}},66
Thoubal,Thoubal,Manipur,64
Thiruvananthapuram,Thiruvananthapuram,Kerala,61
Kochi,Ernakulam,Kerala,56
Dharwad,Dharwad,Karnataka,47
Prayagraj,Prayagraj,Uttar Pradesh,45
Muzaffarpur,Muzaffarpur,Bihar,43
Agra,Agra,Uttar Pradesh,42
Varanasi,Varanasi,Uttar Pradesh,39
,Ernakulam,Kerala,38
Dhanbad,Dhanbad,Jharkhand,37
Porompat,Imphal East,Manipur,35
Kanpur,Kanpur Nagar,Uttar Pradesh,35
Gorakhpur,Gorakhpur,Uttar Pradesh,32
Bhagalpur,Bhagalpur,Bihar,31
Jaunpur,Jaunpur,Uttar Pradesh,27
Meerut,Meerut,Uttar Pradesh,27
Coimbatore,Coimbatore,Tamil Nadu,27
Kalaburagi,Kalaburagi,Karnataka,26
Ghaziabad,Ghaziabad,Uttar Pradesh,26
Siwan,Siwan,Bihar,26
Bhubaneswar,,Odisha,26
Buxar,Buxar,Bihar,23
Bhopal,Bhopal,Madhya Pradesh,23
Aligarh,Aligarh,Uttar Pradesh,22
Darbhanga,Darbhanga,Bihar,22
Moradabad,Moradabad,Uttar Pradesh,22
,Imphal East,Manipur,21
Gaya,Gaya,Bihar,21
Begusarai,Begusarai,Bihar,20
,,Madhya Pradesh,20
,Tirunelveli,Tamil Nadu,19
Thrissur,Thrissur,Kerala,19
Mathura,Mathura,Uttar Pradesh,19
Madhubani,Madhubani,Bihar,19
Churachandpur,Churachandpur,Manipur,19
Aurangabad,Aurangabad,Bihar,18
Firozabad,Firozabad,Uttar Pradesh,18
Udhampur,Udhampur,Jammu and Kashmir,18
Jhansi,Jhansi,Uttar Pradesh,18
Samba,Samba,Jammu and Kashmir,17
Belagavi,Belagavi,Karnataka,17
Hazaribagh,Hazaribagh,Jharkhand,16
Bareilly,Bareilly,Uttar Pradesh,16
Kathua,Kathua,Jammu and Kashmir,16
Mandya,Mandya,Karnataka,15
Basti,Basti,Uttar Pradesh,14
Reasi,Reasi,Jammu and Kashmir,14
Bettiah,West Champaran,Bihar,14
Bijnor,Bijnor,Uttar Pradesh,14
Samastipur,Samastipur,Bihar,14
Godda,Godda,Jharkhand,14
Ukhrul,Ukhrul,Manipur,14
Chandel,Chandel,Manipur,13
Salem,Salem,Tamil Nadu,13
Khunti,Khunti,Jharkhand,13
Ramgarh,Ramgarh,Jharkhand,13
Mirzapur,Mirzapur,Uttar Pradesh,13
Ballia,Ballia,Uttar Pradesh,13
Azamgarh,Azamgarh,Uttar Pradesh,13
Kakching,Kakching,Manipur,13
Moirang,Bishnupur,Manipur,12
Davanagere,Davanagere,Karnataka,12
Senapati,Senapati,Manipur,12
,Bengaluru Rural,Karnataka,12
Anantnag,Anantnag,Jammu and Kashmir,12
Krishnagiri,Krishnagiri,Tamil Nadu,12
Nawada,Nawada,Bihar,12
Erode,Erode,Tamil Nadu,11
Rampur,Rampur,Uttar Pradesh,11
Giridih,Giridih,Jharkhand,11
Namakkal,Namakkal,Tamil Nadu,11
Chaibasa,West Singhbhum,Jharkhand,11
Dharmapuri,Dharmapuri,Tamil Nadu,11
Tiruvallur,Tiruvallur,Tamil Nadu,11
Madurai,Madurai,Tamil Nadu,11
Bulandshahr,Bulandshahr,Uttar Pradesh,11
Auraiya,Auraiya,Uttar Pradesh,11
Etawah,Etawah,Uttar Pradesh,11
Villupuram,Villupuram,Tamil Nadu,11
Vellore,Vellore,Tamil Nadu,11
Saharanpur,Saharanpur,Uttar Pradesh,10
Kancheepuram,Kancheepuram,Tamil Nadu,10
Fatehpur,Fatehpur,Uttar Pradesh,10
Udupi,Udupi,Karnataka,10
Budaun,Budaun,Uttar Pradesh,10
Kolar,Kolar,Karnataka,10
Munger,Munger,Bihar,10
Kottayam,Kottayam,Kerala,10
Kannauj,Kannauj,Uttar Pradesh,10
Malappuram,Malappuram,Kerala,9
Deoghar,Deoghar,Jharkhand,9
Ramanagara,Ramanagara,Karnataka,9
Mainpuri,Mainpuri,Uttar Pradesh,9
Hassan,Hassan,Karnataka,9
Sambhal,Sambhal,Uttar Pradesh,9
Shahjahanpur,Shahjahanpur,Uttar Pradesh,9
Saharsa,Saharsa,Bihar,9
Tiruppur,Tiruppur,Tamil Nadu,9
,Ramanathapuram,Tamil Nadu,9
Sitamarhi,Sitamarhi,Bihar,9
Gopalganj,Gopalganj,Bihar,9
,Dindigul,Tamil Nadu,8
Jehanabad,Jehanabad,Bihar,8
Motihari,East Champaran,Bihar,8
Chengalpattu,Chengalpattu,Tamil Nadu,8
Kangpokpi,Kangpokpi,Manipur,8
Nambol,Bishnupur,Manipur,8
Kamjong,Kamjong,Manipur,8
Tumakuru,Tumakuru,Karnataka,8
Ghazipur,Ghazipur,Uttar Pradesh,8
Pathanamthitta,Pathanamthitta,Kerala,8
Farrukhabad,Farrukhabad,Uttar Pradesh,7
Katihar,Katihar,Bihar,7
