district,state,count
Ranchi,Jharkhand,318
Jammu,Jammu and Kashmir,291
Lucknow,Uttar Pradesh,234
Patna,Bihar,219
Cuttack,Odisha,200
,Karnataka,181
Chennai,Tamil Nadu,179
Jabalpur,Madhya Pradesh,176
Kozhikode,Kerala,154
Imphal West,Manipur,130
,Manipur,122
Gwalior,Madhya Pradesh,105
Kannur,Kerala,105
Srinagar,Jammu and Kashmir,103
Ernakulam,Kerala,100
Madurai,Tamil Nadu,91
Indore,Madhya Pradesh,84
Mysuru,Karnataka,77
'match_context': None,'score_breakdown': {}},66
Thoubal,Manipur,64
Thiruvananthapuram,Kerala,61
Imphal East,Manipur,58
Dharwad,Karnataka,47
Prayagraj,Uttar Pradesh,45
Muzaffarpur,Bihar,43
Agra,Uttar Pradesh,42
Varanasi,Uttar Pradesh,39
Dhanbad,Jharkhand,39
Kanpur Nagar,Uttar Pradesh,35
Gorakhpur,Uttar Pradesh,32
Bhagalpur,Bihar,31
,Odisha,30
Coimbatore,Tamil Nadu,27
Meerut,Uttar Pradesh,27
Jaunpur,Uttar Pradesh,27
Siwan,Bihar,26
Kalaburagi,Karnataka,26
Ghaziabad,Uttar Pradesh,26
Bishnupur,Manipur,25
Bhopal,Madhya Pradesh,23
Buxar,Bihar,23
Aligarh,Uttar Pradesh,22
Moradabad,Uttar Pradesh,22
Darbhanga,Bihar,22
Tirunelveli,Tamil Nadu,22
,Madhya Pradesh,21
Gaya,Bihar,21
Thrissur,Kerala,20
Begusarai,Bihar,20
Churachandpur,Manipur,19
Mathura,Uttar Pradesh,19
Madhubani,Bihar,19
Samba,Jammu and Kashmir,18
Jhansi,Uttar Pradesh,18
Firozabad,Uttar Pradesh,18
Aurangabad,Bihar,18
Udhampur,Jammu and Kashmir,18
Kathua,Jammu and Kashmir,17
Belagavi,Karnataka,17
Hazaribagh,Jharkhand,16
Bareilly,Uttar Pradesh,16
Mandya,Karnataka,15
Bijnor,Uttar Pradesh,14
West Champaran,Bihar,14
Samastipur,Bihar,14
Ukhrul,Manipur,14
Godda,Jharkhand,14
Reasi,Jammu and Kashmir,14
Bengaluru Rural,Karnataka,14
Basti,Uttar Pradesh,14
Azamgarh,Uttar Pradesh,13
Ballia,Uttar Pradesh,13
Senapati,Manipur,13
Ramgarh,Jharkhand,13
Mirzapur,Uttar Pradesh,13
Khunti,Jharkhand,13
Salem,Tamil Nadu,13
Kakching,Manipur,13
Chandel,Manipur,13
Krishnagiri,Tamil Nadu,12
Davanagere,Karnataka,12
Nawada,Bihar,12
Anantnag,Jammu and Kashmir,12
Rampur,Uttar Pradesh,11
Auraiya,Uttar Pradesh,11
Erode,Tamil Nadu,11
Giridih,Jharkhand,11
Namakkal,Tamil Nadu,11
Vellore,Tamil Nadu,11
Tiruvallur,Tamil Nadu,11
Villupuram,Tamil Nadu,11
Etawah,Uttar Pradesh,11
West Singhbhum,Jharkhand,11
Bulandshahr,Uttar Pradesh,11
Dharmapuri,Tamil Nadu,11
Kannauj,Uttar Pradesh,10
Budaun,Uttar Pradesh,10
Munger,Bihar,10
Udupi,Karnataka,10
Kolar,Karnataka,10
Saharanpur,Uttar Pradesh,10
Fatehpur,Uttar Pradesh,10
Kancheepuram,Tamil Nadu,10
Kottayam,Kerala,10
Mainpuri,Uttar Pradesh,9
